nameAlbum,idAlbum,typeAlbum,totalTracks,releaseDate,artist,idArtist
SESSO OCCASIONALE,51lcCxrqnkTxRLbmbL7KX6,single,1,2022-02-03,Tananai,35V1WomiedCJeGfupcPm7s
Dove Si Balla,5iTNhsNPt2pesmEDZlcphf,single,1,2022-02-02,Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm
MATERIA (TERRA),4aNjXVkVKGFfr2HRkVM302,album,11,2021-12-03,Marco Mengoni,3xGlLcG9CUrs5MvFkSLOS5
Ti amo non lo so dire,4xdh3qnIp6cwjHUzq27svz,single,1,2022-02-02,Noemi,62C5P1caRIK12ndTkzNJjA
X2,6ZVOpNfX2JMfAFDqEfmyQ5,album,18,2022-01-07,Sick Luke,0hk4xVujcyOr6USD95wcWb
Doo-Wops & Hooligans,6J84szYCnMfzEcvIcfWMFL,album,12,2010-10-05,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
Tutto accade,48OWBByxV14QKEw6ZXDTPh,album,16,2021-10-22,Alessandra Amoroso,2pjb5ffSoVTr5lRYQXlnPu
È sempre bello,21PxmUBqpu7RNO3ElanyNx,single,1,2019-01-11,Coez,5dXlc7MnpaTeUIsHLVe3n4
Love?,3sysiYphqNRQw7VKLCg1yE,album,17,2011-01-01,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR
Superbattito,249ZdHNKN7yQMOaAKAAoTI,album,8,2017-03-03,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
X2,6ZVOpNfX2JMfAFDqEfmyQ5,album,18,2022-01-07,Sick Luke,0hk4xVujcyOr6USD95wcWb
I love you baby,0rVtGENSOaBniMuuxBLvi6,single,1,2022-03-21,"['Jovanotti', 'Sixpm']","['7tmMPdOmFvdRvbj2aWoiRi', '1DqxHZcNsyQouEIgARx6Zx']"
Ritorno Al Futuro / Back To The Future,5pRIJzzXRB5cgKcDviHMIk,album,27,2022-05-05,Elisa,2ARH58Hit3yC6ziGdhma23
Hands Up (feat. DNCE),5QlZTqFyJ8P4LiY2FYUadF,single,1,2018-04-06,Merk & Kremont,5rRcnWrevHgbuWjl7Lhft7
Scatola,1Fi4bAtx1G2kCwFHS4JYLa,single,1,2022-01-20,Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH
OK,3Y4qJnPihpHfdK3rre9GFA,album,11,2021-02-12,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Giovani Wannabe,4Z93gEHbpIBqeNbIK337oA,single,1,2022-05-27,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Emo,3Vahj9kjeXJFlVd4fruHtF,album,11,2018-05-04,GionnyScandal,7EyPI6TWLhz3XUpxkbyCV2
Fine Line,7xV2TzoaVc0ycW7fwBwAml,album,12,2019-12-13,Harry Styles,6KImCVD70vtIoJWnq6nGn3
Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,album,10,2018-09-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
OCEANO PARADISO,2uopesg6vZ52owGKMTBl9m,album,11,2021-10-14,chiello,5mjasIBQQPIqA9GV2Ys61h
SUPERMODEL,5jhbLeXH1a3SRSOg84GSUn,single,1,2022-05-13,Måneskin,0lAWpj5szCSwM4rUMHYmrr
Exotica,1IeEUrtmzQGatMM6uIA1in,album,14,2021-10-15,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4
Brividi,06ZMpecsvvoHGWJHlc2St7,single,1,2022-02-02,"['Mahmood', 'BLANCO']","['06nvjg4wBANK6DCHjqtPNd', '1MRiIeZbc0cRuxOafDUCtH']"
LA DOLCE VITA,53zvCqI9glWstTSC1WFwT7,single,1,2022-06-03,"['Fedez', 'Tananai', 'Mara Sattei']","['3pgCLfNbw5ozIfoNsvDU7i', '35V1WomiedCJeGfupcPm7s', '0zoMmzmyi8N8LwzhyXPvtk']"
Sindrome di Stendhal,5xF5qZdfqo5hmHTLRv9Fca,album,13,2021-04-16,Emanuele Aloia,3vkFU3DBYyYBSUt323pj76
Emo,3Vahj9kjeXJFlVd4fruHtF,album,11,2018-05-04,GionnyScandal,7EyPI6TWLhz3XUpxkbyCV2
Out (Special Edition),6cHOXkisdOpVyz2BrB2fFc,album,14,2016-02-19,The Kolors,72A0Z8q8NiochyK9gUHpCR
Safari,4tp7nwTFlAwtgHhJiEnilK,album,12,2008-01-18,Jovanotti,7tmMPdOmFvdRvbj2aWoiRi
Less Is More,5ofMsLtz8HogkhrlTQ1UaG,album,16,2016-10-21,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7
Mi sento bene,3PkSBl3kdBue2VgvGQWn7n,single,1,2021-09-24,Random,05kigUQCchmbJDmhDiYiS0
Sunroof,0VaHnwzDug4AcDkejYDUl5,single,1,2021-12-03,"['Nicky Youre', 'dazy']","['7qmpXeNz2ojlMl2EEfkeLs', '38PzLQE4GW8o7A18oGhi0x']"
Faccio un casino,3aKazjcDl544T21siS8lDp,album,12,2017-05-05,Coez,5dXlc7MnpaTeUIsHLVe3n4
OK UN CAZZO,7dxiiqebvmLMlavUYgE4sf,album,15,2021-12-10,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg,album,13,2014-09-08,Vance Joy,10exVja0key0uqUkk6LJRT
My Mamma,6HDpIK6j126R0D5xfbuIDx,album,14,2022-02-11,La rappresentante di lista,0YmQyGKpZgGSDxsC8iEGQU
Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,album,15,2020-02-07,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
OK UN CAZZO,7dxiiqebvmLMlavUYgE4sf,album,15,2021-12-10,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Domani che fai?,10UXJs4HLvGlbX9rXvxAHd,single,1,2022-01-12,Will,7qIrqNF6i1kRLkGLgGXuZq
Me Before You (Original Motion Picture Soundtrack),3WT1mEcabGFCvUWpeN5dtq,compilation,9,2016-06-03,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
Lorenzo 2015 CC.,00FW0vTXN3EWyC68GJNN4X,album,30,2015-02-24,Jovanotti,7tmMPdOmFvdRvbj2aWoiRi
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
È sempre bello,10qyDIB3pverR0MvhOFDVy,album,10,2019-03-29,Coez,5dXlc7MnpaTeUIsHLVe3n4
Voicenotes,0mZIUXje90JtHxPNzWsJNR,album,13,2018-05-11,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
Aka 7even,2bqAWd0VQTvIaAxIQSKe7i,album,12,2021-05-21,Aka 7even,0lQtBhjEJpoOroQS6fbWMc
Punk,5NGI76xqdv82Fx2XlAw7Ou,album,9,2018-11-30,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Pocahontas (Colonna Sonora Originale),24UJAa9kyy4IcsCD7ynCsc,compilation,28,1995-01-01,Manuela Villa,59PP4brVe9kmreXmenzpa4
Diari Aperti,4MmmI8sqP83TZzmg0AyTae,album,13,2019-05-03,Elisa,2ARH58Hit3yC6ziGdhma23
We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,album,12,2008-05-12,Jason Mraz,4phGZZrJZRo4ElhRtViYdl
X2,6ZVOpNfX2JMfAFDqEfmyQ5,album,18,2022-01-07,Sick Luke,0hk4xVujcyOr6USD95wcWb
Maximilian,15gGqbI9XtUGoClVR33kmn,album,10,2015-10-30,Max Gazzè,1h5O32I1o0VOnpLmKXLfRa
I Mortali²,2PrT5iXmTLdobJUjgn5pNZ,album,21,2021-03-19,"['Colapesce', 'Dimartino']","['2KX2VLr3Eu6sn6EtxzCtvf', '1k3zqz5SgrYCE0wpcfJX3g']"
Diari Aperti,4MmmI8sqP83TZzmg0AyTae,album,13,2019-05-03,Elisa,2ARH58Hit3yC6ziGdhma23
Punk,5NGI76xqdv82Fx2XlAw7Ou,album,9,2018-11-30,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Sotto una pioggia di parole,1Q0fmnvhkcB0IUYzO6VMCq,album,10,2009-05-22,Zero Assoluto,3bf7Y2it29DeOjXpIibCOe
STRIPPER,5signiEjXCZZpBmj9xwfQR,single,1,2022-03-04,Achille Lauro,0lI3rF4hi4op6UxqlLHPzv
Sei bellissima,2b4cX4BHhLkTs1vguqAvxO,album,12,1983-10-01,Loredana Bertè,2XpUprTohaksHpVjUtTvlx
OK UN CAZZO,7dxiiqebvmLMlavUYgE4sf,album,15,2021-12-10,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Bella uguale,6VZSX4ULTHPgkWYMuDORPP,single,1,2021-05-05,Will,7qIrqNF6i1kRLkGLgGXuZq
Tribute,2Bgfdyrywv3KEe0WwZdb0V,album,11,2013-01-01,John Newman,34v5MVKeQnIo0CWYMbbrPf
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
Post Punk,1oYTq4dC52TYMw2xoKr4kb,album,13,2019-10-25,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Overexposed Track By Track,6ijGiBcBfUwkoyHn5VUHU2,album,33,2012-01-01,Maroon 5,04gDigrS5kc9YWfZHwBETP
Peter Pan,7E0zdJM8KYDRa5lQeAfEYi,album,16,2018-02-09,Ultimo,3hN3iJMbbBmqBSAMx5veDa
FOREVER,4BNRm3qG2xkESILbn41dtX,album,13,2020-05-28,Rosa Chemical,5gYADZXuZoaJwrwfAPbKuH
Fuori noi (feat. Gazzelle),516KMBdzkrOfQjmbzKVfrp,single,1,2020-07-24,Zero Assoluto,3bf7Y2it29DeOjXpIibCOe
Timido,6ck79fawdX05g2Y4wi55uc,single,1,2021-07-20,"['Paranoic', 'Glaceo']","['5dFsc5Xa04k5yGgkr9Uzfm', '2FnjEL8SlmLe3YBFmPkV9N']"
2step (The Remixes),1nqJFaKVTrCkCDaC2I1zM7,album,13,2022-05-26,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Soundtrack '96 - 06 (Deluxe Version),6K4obGZEeum2rpPmMEDRXW,album,19,2006-12-18,Elisa,2ARH58Hit3yC6ziGdhma23
Post Punk,1oYTq4dC52TYMw2xoKr4kb,album,13,2019-10-25,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN
Come nelle canzoni,1vgpkjxI8EHz3DESgmXEN9,single,1,2021-11-05,Coez,5dXlc7MnpaTeUIsHLVe3n4
Possibili Scenari,1tcX4ysSZEeMMshVVbkkDa,album,10,2017-11-24,Cesare Cremonini,396Jr76018oUMR6QBnqT8T
Concedimi,3aunYOAreqjC6cdHn6iOaJ,single,1,2020-11-17,Matteo Romano,5Imsy0ZXNi7uWLJpP5dZ8b
Faccio un casino,3aKazjcDl544T21siS8lDp,album,12,2017-05-05,Coez,5dXlc7MnpaTeUIsHLVe3n4
Faccio un casino,3aKazjcDl544T21siS8lDp,album,12,2017-05-05,Coez,5dXlc7MnpaTeUIsHLVe3n4
Parlami,1XWrPc7GoTh1vQ5WAd575N,single,1,2021-03-03,"['Fasma', 'GG']","['1hM06YHQ635cZwwUbn7dpk', '0kbBijEWCi7FWrBpnpOcHd']"
Mainstream (Deluxe Edition),11dh7pT3FRrGkI3TXl0e4k,album,11,2016-06-03,Calcutta ,582KhTHEVOONNQLmQ5612r
Volume Due,5tbkLiJV40GoumbImFD11e,album,9,2020-06-19,T.A.P.S.,7uFAuPrTRli2WZNcUCrH49
Faccio un casino,3aKazjcDl544T21siS8lDp,album,12,2017-05-05,Coez,5dXlc7MnpaTeUIsHLVe3n4
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
Il Mestiere Della Vita,7w6z4cJ9Now0y8rnYEKkEa,album,13,2016-12-02,Tiziano Ferro,11TplWqOPQBTmg2eiSLt1m
Sotto una pioggia di parole,1Q0fmnvhkcB0IUYzO6VMCq,album,10,2009-05-22,Zero Assoluto,3bf7Y2it29DeOjXpIibCOe
È sempre bello,10qyDIB3pverR0MvhOFDVy,album,10,2019-03-29,Coez,5dXlc7MnpaTeUIsHLVe3n4
Sindrome di Stendhal,5xF5qZdfqo5hmHTLRv9Fca,album,13,2021-04-16,Emanuele Aloia,3vkFU3DBYyYBSUt323pj76
Gemelli,3LXvt5r3boBy4sQQpxmsi9,album,12,2020-06-18,Ernia,3fhMfkPPzksWuw0hEm4ldm
Before Wanderlust,4m56Ae5dOv24XbtQLYtXKp,album,11,2019-12-13,"['Alfa', 'Yanomi']","['7GacyaFUp0qkEJglERX9N7', '6YgYCNwq3DkSXEd6kGxoZW']"
Volare,49NVOF8cRsKJtl38a9AGo0,album,14,2022-05-18,Coez,5dXlc7MnpaTeUIsHLVe3n4
Giovani Wannabe,4Z93gEHbpIBqeNbIK337oA,single,1,2022-05-27,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Night Visions,6nxDQi0FeEwccEPJeNySoS,album,14,2012-09-04,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
Sorriso (Milano Dateo),5U5pvv8NQHjb4UEhMozHRz,single,1,2019-06-07,Calcutta ,582KhTHEVOONNQLmQ5612r
NoRd,4LDkteS52GRbR6rjrbhFkV,album,10,2021-05-14,Alfa,7GacyaFUp0qkEJglERX9N7
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
TAXI DRIVER,6et3LALeDMavQqtIn2AC3Z,album,38,2022-02-24,Rkomi,056KMTw6IztdQjBmFfVyO3
La Teoria Dei Colori,3OpmNTT7hIZMoO9NNcKnmz,album,11,2012-01-01,Cesare Cremonini,396Jr76018oUMR6QBnqT8T
Dove Si Balla,5iTNhsNPt2pesmEDZlcphf,single,1,2022-02-02,Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm
Gemelli,2hHDTcf1MzvkDdFm0CEujn,album,13,2021-01-19,Ernia,3fhMfkPPzksWuw0hEm4ldm
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
Devastante,1tmIIZsagzU6cqJibKfAiT,album,11,2022-01-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
CI SARÒ,49gGP9VPAPFdeNKtOyadYy,single,1,2021-09-24,Alfa,7GacyaFUp0qkEJglERX9N7
Evergreen,0w267xHWJikkEIcQgfhezx,album,10,2018-05-25,Calcutta ,582KhTHEVOONNQLmQ5612r
Blu Celeste,7zFt7hLRPxemmlzVzg5uec,album,12,2021-09-09,BLANCO,1MRiIeZbc0cRuxOafDUCtH
Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,album,10,2018-09-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Il bacio di Klimt,2JAcCIuh57ns83xfzTpNaB,single,1,2020-04-21,Emanuele Aloia,3vkFU3DBYyYBSUt323pj76
sangiovanni,4glIx4caTnxFFuRP5tUFaz,album,7,2021-05-13,sangiovanni,7dL0nOHwnSAsNAwpkPSGWP
...Squérez?,7sXufweikTP0DcDSBGwpoD,album,12,1999-11-30,Lùnapop,4ZbsxiS90Pj1gLeDv3A9mN
Entro in pass,7rwFY0BOEkfrwUx8p6OXZU,album,12,2016-09-16,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Virale,0rSZMkAo12juM5issAjerT,single,1,2022-02-03,Matteo Romano,5Imsy0ZXNi7uWLJpP5dZ8b
Colpa Delle Favole,7ynNnkdYfFsjMxvfecxAWy,album,13,2019-04-05,Ultimo,3hN3iJMbbBmqBSAMx5veDa
Lorenzo 2015 CC.,00FW0vTXN3EWyC68GJNN4X,album,30,2015-02-24,Jovanotti,7tmMPdOmFvdRvbj2aWoiRi
Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,album,10,2018-09-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Portami con te,6FkBWG4T1CLWtZntfU8awP,single,1,2016-06-10,Boomdabash,4mAsWDGLUIEdo6imU77WG6
Metamorfosi,4a4zEVrh5XKUiw9SU1MR9X,album,11,2021-03-05,Noemi,62C5P1caRIK12ndTkzNJjA
Pianeti,4kOACyHbEPgbnmyF5nCYB7,album,14,2017-10-06,Ultimo,3hN3iJMbbBmqBSAMx5veDa
È sempre bello,10qyDIB3pverR0MvhOFDVy,album,10,2019-03-29,Coez,5dXlc7MnpaTeUIsHLVe3n4
Fuori dall'Hype,0YuaTmnune0LCqLSNhHu6I,album,10,2019-04-05,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Mainstream (Deluxe Edition),11dh7pT3FRrGkI3TXl0e4k,album,11,2016-06-03,Calcutta ,582KhTHEVOONNQLmQ5612r
Peter Pan,7E0zdJM8KYDRa5lQeAfEYi,album,16,2018-02-09,Ultimo,3hN3iJMbbBmqBSAMx5veDa
È sempre bello,10qyDIB3pverR0MvhOFDVy,album,10,2019-03-29,Coez,5dXlc7MnpaTeUIsHLVe3n4
Brividi,06ZMpecsvvoHGWJHlc2St7,single,1,2022-02-02,"['Mahmood', 'BLANCO']","['06nvjg4wBANK6DCHjqtPNd', '1MRiIeZbc0cRuxOafDUCtH']"
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
Vieni nel mio cuore,1p7JI6emkhorl489KhhiQV,single,1,2022-05-25,Ultimo,3hN3iJMbbBmqBSAMx5veDa
Entro in pass,7rwFY0BOEkfrwUx8p6OXZU,album,12,2016-09-16,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Canzoni d'amore nascoste,6eJp9kjhacbth0gJuUxLq5,album,11,2020-11-20,Fabrizio Moro,3ebOqZZsLCDAkLS6QdI8cc
VI,3vI6UxVO1NPvzWSycXhGs4,single,6,2022-04-15,Le Vibrazioni,3J3PdLj6v1uAs1mWKpzZbX
Niente che non va,633YqTzw4kncLmIwFfsP0K,album,11,2015-09-04,Coez,5dXlc7MnpaTeUIsHLVe3n4
Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,album,10,2018-09-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Fuori dall'Hype,0YuaTmnune0LCqLSNhHu6I,album,10,2019-04-05,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Before Wanderlust,4m56Ae5dOv24XbtQLYtXKp,album,11,2019-12-13,"['Alfa', 'Yanomi']","['7GacyaFUp0qkEJglERX9N7', '6YgYCNwq3DkSXEd6kGxoZW']"
Montagne russe,6mVwwCEgN2FBqe8ZH1sj8a,album,8,2020-06-05,Random,05kigUQCchmbJDmhDiYiS0
Testa o croce,55wIbqSc0gliPV7mlvrvlY,album,13,2019-10-04,Modà,3ALm6zJLaJMWV0r89kuYtu
Whenever You Need Somebody,5Z9iiGl2FcIfa3BMiv6OIw,album,10,1987-11-12,Rick Astley,0gxyHStUsqpMadRV0Di1Qt
LOVE,5ckYRyGJLuChNaIuXUWwcN,album,11,2018-09-21,Thegiornalisti,6YBgd2LKccEB3pX6UaW1Yp
MATERIA (TERRA),4aNjXVkVKGFfr2HRkVM302,album,11,2021-12-03,Marco Mengoni,3xGlLcG9CUrs5MvFkSLOS5
Metamorfosi,2ZYV0qGxO1Rw7yLIEzs4ND,album,12,2021-03-05,Noemi,62C5P1caRIK12ndTkzNJjA
Entro in pass,7rwFY0BOEkfrwUx8p6OXZU,album,12,2016-09-16,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Dirty Dancing (Original Motion Picture Soundtrack),0mtLFaQ3hL371jsNraRo9g,compilation,12,1987-09-24,Bill Medley,1XE70WwxhnrXNAJYQQ9ygx
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Nuda10 (Deluxe Edition),3oz5WsYXsqTN6H7H3M46LW,album,20,2021-03-12,Annalisa,0EqkKYDK9EkKY5N7zU3FPv
Hanno Ucciso L'uomo Ragno,6PG1Iv9hxCM1Neq6OdIDWZ,album,15,1992,883,6bMul6rmRS03x38tWKYifO
Portofino,6dupJmcnSQIgSF2niOZkOk,single,1,2020-07-01,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Davide,74H59wB5WUQJrF5d9bqxn8,album,15,2018-04-20,Gemitaiz,4upwdFMlZBmQ68jP9jPzjK
Buon Sangue,4CzpxmaZzXvFBzNdGRw6qq,album,13,2005-05-13,Jovanotti,7tmMPdOmFvdRvbj2aWoiRi
SaN LoREnZo (feat. Annalisa) - prod. Yanomi,6tRd8BlJsTN7IW9MvNNeNZ,single,1,2020-11-12,"['Alfa', 'Annalisa', 'Yanomi']","['7GacyaFUp0qkEJglERX9N7', '0EqkKYDK9EkKY5N7zU3FPv', '6YgYCNwq3DkSXEd6kGxoZW']"
Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,album,10,2018-09-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Loca,07eT26hyOYkOlvUzjM9djw,single,1,2021-05-14,Aka 7even,0lQtBhjEJpoOroQS6fbWMc
Magellano,760IKHvBYTnfXTgq4zy4m9,album,9,2017-04-28,Francesco Gabbani,5lzqFxifzjxYHGJxuwQqtR
The Heist (Deluxe Edition),2pFX16u42q0e5F5vRmmzYT,album,18,2012-10-09,"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']","['5BcAKTbp20cv7tC5VqPFoC', '3JhNCzhSMTxs9WLGJJxWOY', '4myTppRgh0rojLxx8RycOp', '4e0nWw2r4BoQSKPQ2zpU13']"
Entro in pass,7rwFY0BOEkfrwUx8p6OXZU,album,12,2016-09-16,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
SOUR,6s84u2TUpR3wdUv4NgKA2j,album,11,2021-05-21,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
Salsa,6KckQeeQQQQzRnXGTyJhP7,single,1,2021-05-21,"['J-AX', 'Jake La Furia']","['2iK8weavvfS2xJCmzNzNE5', '6JFRI91YaCXREGQYzHSnUH']"
Completamente Sold Out,2UsIHnX2RaOOQVkpspAYDj,album,11,2016-10-21,Thegiornalisti,6YBgd2LKccEB3pX6UaW1Yp
30,21jF5jlMtzo94wbxmJ18aa,album,12,2021-11-19,Adele,4dpARuHxo51G3z768sgnrY
Safari,4tp7nwTFlAwtgHhJiEnilK,album,12,2008-01-18,Jovanotti,7tmMPdOmFvdRvbj2aWoiRi
Potere,2PjyVGPJwYRg9GbNXlicKM,album,16,2018-06-29,Luchè,3yiEJ9SByXZMXTwaKdVFN4
Playlist,5F6r4JU7TdqI8YOWzj6Fyn,album,13,2018-11-09,Salmo,3hBQ4zniNdQf1cqqo6hzuW
Shakerando,4ZF92wezwJWluQn4CQcXLJ,single,1,2021-12-15,Rhove,44DWomjW1oDuxIoBIRpmQ4
A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,album,34,2018-10-05,"['Lady Gaga', 'Bradley Cooper']","['1HY2Jd0NmPuamShAr6KMms', '4VIvfOurcf0vuLRxLkGnIG']"
Il cielo si tinge di blu,3eqW9Tpd1yXWwesdCQoDSo,single,1,2021-07-29,"['Nessuno', 'Urano']","['35ReHoGfnoTWT9lJJpEVkU', '4boc9WGDp4rS4bObD8WtlU']"
Faccio un casino,3aKazjcDl544T21siS8lDp,album,12,2017-05-05,Coez,5dXlc7MnpaTeUIsHLVe3n4
Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,album,15,2020-02-07,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Buon compleanno Elvis [Remastered Version],3m8nR8iBBvwln3ziNW2QZ1,album,14,1995,Ligabue,7H8ZC8uHJMPZGLMApRRNIz
Ma stasera,467MAoSMAtfADeRzoEa3Zr,single,1,2021-06-18,Marco Mengoni,3xGlLcG9CUrs5MvFkSLOS5
Stars: The Best Of The Cranberries 1992-2002,1JXjYl5WVr3wFgV3DMIHMl,compilation,20,2002-09-16,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9
Songbook Vol. 1,1IBYa3sgk34qSfosjptNzW,album,19,2013-01-01,MIKA,5MmVJVhhYKQ86izuGHzJYA
LA DOLCE VITA,53zvCqI9glWstTSC1WFwT7,single,1,2022-06-03,"['Fedez', 'Tananai', 'Mara Sattei']","['3pgCLfNbw5ozIfoNsvDU7i', '35V1WomiedCJeGfupcPm7s', '0zoMmzmyi8N8LwzhyXPvtk']"
Cenere,1lrhX79POrz4wSmgD4aeGg,single,1,2019-03-22,"['Nashley', '2nd Roof']","['5RiGhrEoM1SBjZoY25lCfe', '1eznSku2RY9VSvkhWxXdmx']"
Giulia,6bCeh3TM7yb6HPXheF9t4X,single,1,2019-11-29,"['Prince Paris', 'Il Pagante']","['5aAJhXtrFlRSDzZmCktcXQ', '1vKXVGgIDP1XXZX4Tehjtn']"
abcdefu (angrier),23M1xUF2RoRSvXtpwQP4rJ,single,4,2021-09-24,GAYLE,2VSHKHBTiXWplO8lxcnUC9
VASCONONSTOP,1UegELBIi5854L79kswXuE,compilation,69,2016-11-11,Vasco Rossi,5l4nhyz8876RhgE2d18h65
Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,album,15,2020-02-07,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Entro in pass,7rwFY0BOEkfrwUx8p6OXZU,album,12,2016-09-16,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
VIRUS,1PuzNok4t4FnyY92G202UU,album,16,2022-01-14,Noyz Narcos,49UAapOfpOg1ZOU4xf2NgY
Ferro del mestiere,3MmCBPYzRAiMZc5tFMu0NL,album,11,2022-06-17,Jake La Furia,6JFRI91YaCXREGQYzHSnUH
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,album,13,2022-03-24,Gianni Bismark,26PZBCQnswFp61ccTrVJOa
VIRUS,1PuzNok4t4FnyY92G202UU,album,16,2022-01-14,Noyz Narcos,49UAapOfpOg1ZOU4xf2NgY
LIBERATO II,2C6181H1enBSZDL8kbhUXQ,album,7,2022-05-09,LIBERATO,4X89u81dkCXBSGo8i2DhMW
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,album,13,2022-03-24,Gianni Bismark,26PZBCQnswFp61ccTrVJOa
VIRUS,1PuzNok4t4FnyY92G202UU,album,16,2022-01-14,Noyz Narcos,49UAapOfpOg1ZOU4xf2NgY
Eiwa,5VwzFhZqZtoNuAH66snDIm,single,1,2021-07-16,"['Rayan', 'Intifaya']","['6doCr3greqY545Eo7IsY3m', '1sSz8a84ezDX1LhXCIgt41']"
GVESVS,1fONeOwepyow1t4dUw0RcL,album,16,2021-12-10,Guè,7F2utINZ6tSokSiZTQBE27
