nameAlbum,idAlbum,typeAlbum,totalTracks,releaseDate,artist,idArtist
SESSO OCCASIONALE,51lcCxrqnkTxRLbmbL7KX6,single,1,2022-02-03,Tananai,35V1WomiedCJeGfupcPm7s
Tante care cose e altri successi,7iECb2vZNSIWoHKxYZxHxG,album,14,2022-03-11,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3
FLOP,7DvK67C21i6go7olhjvLgT,album,17,2021-10-01,Salmo,3hBQ4zniNdQf1cqqo6hzuW
DON'T YOU WORRY,3plMoBhvQ07H4itII2Qdeb,single,1,2022-06-17,"['Black Eyed Peas', 'Shakira', 'David Guetta']","['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp', '1Cs0zKBU1kc0i8ypK3B9ai']"
Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,album,10,2018-09-21,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn
Tante care cose,4kDPKnqhLo9WVqSEjgrv0u,album,10,2021-03-12,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3
Bingo,7Bdcup9YPQh5GNve2H0t4X,album,14,2021-05-13,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
As It Was,2pqdSWeJVsXAhHFuVLzuA8,single,1,2022-03-31,Harry Styles,6KImCVD70vtIoJWnq6nGn3
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Open Bar,1PPMHFwkol2a62EyRujI8E,single,1,2021-06-09,"['Il Pagante', 'The Kolors']","['1vKXVGgIDP1XXZX4Tehjtn', '72A0Z8q8NiochyK9gUHpCR']"
SIRIO,2v7KXdLrb81rGL9G7jwcjF,album,17,2022-04-07,Lazza,0jdNdfi4vAuVi7a6cPDFBM
Il giorno in cui ho smesso di pensare,2bL1yZKdgMo1syeyCYDwhq,album,13,2022-02-25,Irama,5iot8OPcosJN9nCl7I5SdK
Ricordi,4HTHn74exsZ0i3bClrCFef,single,1,2022-09-23,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
OBE,2oT1W5fYFSfU3fz5Q55HWj,album,17,2021-02-04,MACE,7gjqZ8coFZimZDtdk04WP1
A Sky Full of Stars,5YErGPYkVAaEV04hVFdmvW,single,1,2014-05-02,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Bingo,7Bdcup9YPQh5GNve2H0t4X,album,14,2021-05-13,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
Volare,49NVOF8cRsKJtl38a9AGo0,album,14,2022-05-18,Coez,5dXlc7MnpaTeUIsHLVe3n4
"NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,album,14,2021-11-19,Marracash,5AZuEF0feCXMkUCwQiQlW7
A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,album,11,2015-12-04,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Bingo,7Bdcup9YPQh5GNve2H0t4X,album,14,2021-05-13,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
X2,6ZVOpNfX2JMfAFDqEfmyQ5,album,18,2022-01-07,Sick Luke,0hk4xVujcyOr6USD95wcWb
...Squérez?,7sXufweikTP0DcDSBGwpoD,album,12,1999-11-30,Lùnapop,4ZbsxiS90Pj1gLeDv3A9mN
Music Of The Spheres,06mXfvDsRZNfnsGZvX2zpb,album,12,2021-10-15,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Vita Sperduta,0eeFAco3jtZzRFDD6cUl6q,single,1,2022-03-11,Fast Animals and Slow Kids,2n92OcdDhE5g2CpDI1rjH6
SIRIO,2v7KXdLrb81rGL9G7jwcjF,album,17,2022-04-07,Lazza,0jdNdfi4vAuVi7a6cPDFBM
Pensando a lei,16TddOdM2qRyKoyjy05nQn,single,1,2022-02-11,Shiva,2K5nCggbhSZ00YCYP5qkZS
Tropicana (feat. Annalisa),4vJhkz8fj06lW7TEoVmBKM,single,1,2022-06-09,"['Boomdabash', 'Annalisa']","['4mAsWDGLUIEdo6imU77WG6', '0EqkKYDK9EkKY5N7zU3FPv']"
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
"NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,album,14,2021-11-19,Marracash,5AZuEF0feCXMkUCwQiQlW7
La Teoria Dei Colori,3OpmNTT7hIZMoO9NNcKnmz,album,11,2012-01-01,Cesare Cremonini,396Jr76018oUMR6QBnqT8T
DISUMANO,3kg7VTOPL8oFCHvMaYtsVU,album,24,2021-11-26,Fedez,3pgCLfNbw5ozIfoNsvDU7i
Ferrari (Remix),0zWMvd5j2ozFDLycUIVzbt,single,3,2022-09-09,"['James Hype', 'Miggy Dela Rosa', 'Lazza']","['43BxCL6t4c73BQnIJtry5v', '45ruzGUmIr8WLjLOPJ9mGU', '0jdNdfi4vAuVi7a6cPDFBM']"
Vieni nel mio cuore,1p7JI6emkhorl489KhhiQV,single,1,2022-05-25,Ultimo,3hN3iJMbbBmqBSAMx5veDa
I'm Good (Blue),7M842DMhYVALrXsw3ty7B3,single,2,2022-08-26,"['David Guetta', 'Bebe Rexha']","['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb']"
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
SIAMO DI UN ALTRO PIANETA,4q2vbPbdei6nxCpcPonCPe,single,1,2021-06-25,Random,05kigUQCchmbJDmhDiYiS0
Virale,0rSZMkAo12juM5issAjerT,single,1,2022-02-03,Matteo Romano,5Imsy0ZXNi7uWLJpP5dZ8b
Bingo,7Bdcup9YPQh5GNve2H0t4X,album,14,2021-05-13,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,album,15,2020-02-07,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Il cielo si tinge di blu,3eqW9Tpd1yXWwesdCQoDSo,single,1,2021-07-29,"['Nessuno', 'Urano']","['35ReHoGfnoTWT9lJJpEVkU', '4boc9WGDp4rS4bObD8WtlU']"
abcdefu,6tUQPKlpR4x1gjrXTtOImI,single,1,2021-08-13,GAYLE,2VSHKHBTiXWplO8lxcnUC9
THE LONELIEST,1DFNeS38zvoPkx9wwMEwbc,single,1,2022-10-07,Måneskin,0lAWpj5szCSwM4rUMHYmrr
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
Mamma Mia,4hPNVvtU3MXV6Oefi11Zx3,single,1,2022-04-28,"['Sfera Ebbasta', 'Rvssian']","['23TFHmajVfBtlRx5MXqgoz', '1fctva4kpRbg2k3v7kwRuS']"
Ovunque Sarai,5yoJ1p4t0IVXPIihr5vtyv,single,1,2022-02-03,Irama,5iot8OPcosJN9nCl7I5SdK
MEGLIO DEL CINEMA,4gyyzGDsrdEmYxgYmAzJLW,single,1,2021-09-24,Fedez,3pgCLfNbw5ozIfoNsvDU7i
Bingo,7Bdcup9YPQh5GNve2H0t4X,album,14,2021-05-13,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
In A Tidal Wave Of Mystery (Deluxe Edition),3WrufJir7I61NkvkDwxero,album,16,2013,Capital Cities,4gwpcMTbLWtBUlOijbVpuu
Natura Viva,1Y0HxgNM9X6RiMEA2d3dzG,album,10,2019-03-01,Eugenio In Via Di Gioia,1UtaXKnNyKhj0efXu2rD5t
1969 - Achille Idol Rebirth,0zMH1I8EZPPGYAzxZ9H0gU,album,16,2020-09-25,Achille Lauro,0lI3rF4hi4op6UxqlLHPzv
Where Are You Now,5YrOK7zze6egKg9a8WRcnD,single,1,2021-07-30,"['Lost Frequencies', 'Calum Scott']","['7f5Zgnp2spUuuzKplmRkt7', '6ydoSd3N2mwgwBHtF6K7eX']"
Fuori dall'Hype,0YuaTmnune0LCqLSNhHu6I,album,10,2019-04-05,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
La Meglio Gioventù,27YISdUuV8GRGMRuAvMdVz,single,1,2021-12-09,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
BUBBLE (feat. thasup & Salmo),2yuspE1GL8YQLrOboKtwWp,single,1,2022-06-10,"['Takagi & Ketra', 'thasup', 'Salmo']","['76UCIJTB0jcJvBaL0CdIqx', '19i93sA0D7yS9dYoVNBqAA', '3hBQ4zniNdQf1cqqo6hzuW']"
Ciao Ciao,0pK7UNY1nXMQeeJKiAZMMj,single,1,2022-02-02,La rappresentante di lista,0YmQyGKpZgGSDxsC8iEGQU
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
Onde,05QaX06ET8D9JNktx9zXrd,single,1,2022-05-26,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY
"Quevedo: Bzrp Music Sessions, Vol. 52",4PNqWiJAfjj32hVvlchV5u,single,1,2022-07-06,"['Bizarrap', 'Quevedo']","['716NhGYqD1jl2wI1Qkgq36', '52iwsT98xCoGgiGntTiR7K']"
San Giovanni,5gCugzbz7VANpYLW7PFJrG,single,1,2019-12-06,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3
Umano,1HktipL1UWcNGbn4F6KccT,single,1,2021-11-26,Eugenio In Via Di Gioia,1UtaXKnNyKhj0efXu2rD5t
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,album,12,2017-04-07,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
Tante care cose,4kDPKnqhLo9WVqSEjgrv0u,album,10,2021-03-12,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3
Before Wanderlust,4m56Ae5dOv24XbtQLYtXKp,album,11,2019-12-13,"['Alfa', 'Yanomi']","['7GacyaFUp0qkEJglERX9N7', '6YgYCNwq3DkSXEd6kGxoZW']"
Dreamland (+ Bonus Levels),0KTj6k94XZh0c6IEMfxeWV,album,18,2020-08-06,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
Mediterraneo,2PPHtMDuk5L0lMdxuXkn5w,album,10,2022-04-01,Jovanotti,7tmMPdOmFvdRvbj2aWoiRi
Tante care cose e altri successi,7iECb2vZNSIWoHKxYZxHxG,album,14,2022-03-11,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3
Black Clouds,2UZ4x4kKTpqJZFQBrD0TJE,album,7,2017-09-29,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Dark Matter,17Xehht6u24Nhnx8fGOIDy,album,11,2017-08-25,Les Friction,6w3KIJjRhRR0yuABLt68Rz
Vanquish,4LTuRCaAMbtmkuiG808J48,album,17,2016-12-02,Two Steps from Hell,2qvP9yerCZCS0U1gZU8wYp
Epicon (UK Version),0w2LuWGjibzy5hkKL3C2eu,album,14,2006-07-24,Globus,2SrDoQLTZqsVi8Vg1UdHao
Resist,1ilz7Yv916lbJUR41wNMIs,album,13,2018-09-21,NINJA TRACKS,6528Ex7vvaNcKo87nHri44
Obsidian,0QbbUNlRAjKU5MHloKkSLp,album,8,2018-07-13,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
RAGE,3SeUNu6Vswh4f8yMW6fmGA,album,16,2012-08-02,Xtortion Audio,4mtNoMN4jglEdAWfrD5N9z
Dark Matter,17Xehht6u24Nhnx8fGOIDy,album,11,2017-08-25,Les Friction,6w3KIJjRhRR0yuABLt68Rz
One,1sfeHUUTlLRnNwZG9wRpIK,album,20,2015-02-01,NINJA TRACKS,6528Ex7vvaNcKo87nHri44
Alibis,5RgESAaSGm3hzo2UIl0evq,single,4,2019-07-26,Astyria,2BgtLzBS8FjGC3P3kLCI76
Epicon (UK Version),0w2LuWGjibzy5hkKL3C2eu,album,14,2006-07-24,Globus,2SrDoQLTZqsVi8Vg1UdHao
Revivals,2rvirCzv2crkdk3ix71vGB,single,5,2018-02-23,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Les Friction (Instrumental Bonus Tracks Version),1AhqxcT1po0xImc7TsY7MW,album,18,2012-01-24,Les Friction,6w3KIJjRhRR0yuABLt68Rz
Nemesis,0EJMZHw1EdKqjVHA3Eph51,album,12,2016-01-04,Sound Adventures,0YdXfou4dLC8zsOn85D1GL
Night Hounds,3nACbCd5X3r9K8wviQDulo,album,28,2017-03-21,X-Ray Dog,4GwtNddbBGWKxaquZyFFJG
Elemental,4rYCHsijvtueFepQ8MwuUx,album,12,2016-10-14,NINJA TRACKS,6528Ex7vvaNcKo87nHri44
Final Reckoning,7wuMrns6vGi0uvPi4DudWf,album,26,2012,Q-Factory by Robert Etoll,0wBSkYE9QLovAkVbXP9n8N
Reawakenings,1CUCeOtiH3pknijQK7zduV,album,12,2016-10-28,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Battlecry,4y7T04fej3MJ8tAe2FeKD5,album,26,2015-04-28,Two Steps from Hell,2qvP9yerCZCS0U1gZU8wYp
Frightmare,7kfrR68EUh7HhSkXnpOAbb,album,12,2018-10-05,Xtortion Audio,4mtNoMN4jglEdAWfrD5N9z
Nemesis,0EJMZHw1EdKqjVHA3Eph51,album,12,2016-01-04,Sound Adventures,0YdXfou4dLC8zsOn85D1GL
Black Clouds,2UZ4x4kKTpqJZFQBrD0TJE,album,7,2017-09-29,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Battlecry,4y7T04fej3MJ8tAe2FeKD5,album,26,2015-04-28,Two Steps from Hell,2qvP9yerCZCS0U1gZU8wYp
Break from This World,2X9WyElXp1N5zKo5KrctPA,album,12,2011-08-26,Globus,2SrDoQLTZqsVi8Vg1UdHao
"Canis Rex, Vol. 2",3ZAwDuOaoRfoJDms2m5HpC,album,26,2017-03-21,X-Ray Dog,4GwtNddbBGWKxaquZyFFJG
Reawakenings,1CUCeOtiH3pknijQK7zduV,album,12,2016-10-28,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Battlecry,4y7T04fej3MJ8tAe2FeKD5,album,26,2015-04-28,Two Steps from Hell,2qvP9yerCZCS0U1gZU8wYp
Live as Lions,6bmJm0fRkXKnPszqdyn7AX,album,13,2017-09-22,"['Glory Oath + Blood', 'Robert Leslie Bennett', 'Generdyn', 'Jaroslav Beck']","['0lkwA8682c7T1ZSnOLe0lf', '61HkEKXp6aQytKWbVBxAwp', '5hapHjhxu0KGpkjz8GGGoO', '2qaihH7C0RAiTnCDHYTkxY']"
The Vanquisher of Death,28i409nBswGZ1ildsiCi7w,album,12,2019-01-25,Efisio Cross,4AeQ7Pcq0mxxRuKjxDtvCk
Supreme,3RZ2YKi63F9RGadtAiZybu,album,9,2017-07-10,Imagine Music,4SOk9hgrKvDv8pVI1iUZ8L
Awakening,302AFR5v6b3oK1JkYYNNCY,album,12,2017-11-24,Sound Adventures,0YdXfou4dLC8zsOn85D1GL
Decade,31OG45OInduta4wOHf5YSS,album,25,2015-06-09,Aleksandar Dimitrijevic,6zRPnHLutADMg25cuMOEmy
Awakening,7LuzLhB2GjSmT3LJrLdnA7,album,11,2017-08-25,Joseph William Morgan,3iZ86mYR1dGoTWIHFMoT03
Aphelion,1FqPZscG7gDH6utCpoWnkG,album,10,2021-08-27,Leprous,4lgrzShsg2FLA89UM2fdO5
Aella,7LBRkrHrUOlATxOKjiRJuw,single,6,2019-03-08,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
"J2 the Iconic Series, Vol. 8",4FI9EU7NbuCcwrXUZTo0Fd,album,24,2019-02-08,J2,7bKIwE1P5IDeq0NcQC6dHd
Who Will Save You Now,4ajWyQFixuNTiVRrpyZUw2,single,1,2014-06-19,Les Friction,6w3KIJjRhRR0yuABLt68Rz
Nature Girl,31nfMrVrlBC1vzAnsuMaII,single,1,2018-02-16,Cryoshell,65jgj6SqhyQN9TEh5g0Unu
Propago,11SIUfrn8MdSTd33jX5If1,album,7,2021-09-17,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Rediscover,4yu6moTbrtfDfTeO57w4RB,album,7,2019-01-23,Joseph William Morgan,3iZ86mYR1dGoTWIHFMoT03
Dystopia,0sUanZDqtmj4XJnSSZIwHI,single,1,2017-01-12,Hi-Finesse,4uOcci6rBym8EVu1RH7XQ5
Dragons and Kings,1MIDCk8tJokt99w5zrLvFQ,album,12,2018-08-28,Gothic Storm,0yJVICreTbBrtXTstg8pE9
Black Clouds,2UZ4x4kKTpqJZFQBrD0TJE,album,7,2017-09-29,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
The First Spirit,4AEpKtnE6nfj5H99xuOXjK,album,12,2014-11-13,"['Alex Richstein', 'Phoenix Music']","['1nF1ohtOIdWmBwHQTlUu6Z', '4DxMoDhZXHK0V7oI4teoky']"
Alibis,5RgESAaSGm3hzo2UIl0evq,single,4,2019-07-26,Astyria,2BgtLzBS8FjGC3P3kLCI76
Creeping in My Soul (Classical Version),0o4VMvldl1H3JpGLN8zobG,single,1,2019-12-25,Cryoshell,65jgj6SqhyQN9TEh5g0Unu
Darkness,4Mhw2O9ZyWup6jm6L6nfA6,single,1,2019-07-09,X V I,3BTy6efn1U8Bqo1E0gAlcT
Revelation,0ulEwQIOm2DqqDXL0IT3EO,album,30,2016-02-07,Infinitescore,2JldkI3fual43FoAvlqS8V
Recover,0jsLbaKxIvBBsLASZqFNbL,single,6,2016-11-11,Joseph William Morgan,3iZ86mYR1dGoTWIHFMoT03
Soul Stories 2 (Emotional Orchestral Drama Tracks),12xXd3NM97X0a6PMgAiwKQ,album,12,2019-12-16,"['Anne Sophie Versnaeyen', 'Gabriel Saban']","['671urgqEnpU2quOyN9RB6D', '2lgEU996kHhYBlo10vh59G']"
"This Is Epic Music, Vol. 1",3OIntm3ZcpZgvgP6zQJulg,compilation,22,2014-12-02,PostHaste Music,184c1HwKwkvLu4BiyBtVaY
Uncovered,13jxD4xgyS7lUwz2xQBWlE,single,5,2018-12-07,Damned Anthem,3C0PKxcP1f25siYFYiyHa1
Evolution,6PncPqiplWDiuItwk6DCOv,album,12,2016-04-24,Revolt Production Music,5aYAUA8CBgKOAhAmjEg9ra
Warrior,6nwPNlxxYOleK1mgnhZn12,single,1,2021-04-02,"['Alexa Ray', 'Randall Jermaine']","['7KRlMHf9err2cWhAiYpkIv', '5fbfAGgGXwH97lu9sMSKbx']"
Aphelion,1FqPZscG7gDH6utCpoWnkG,album,10,2021-08-27,Leprous,4lgrzShsg2FLA89UM2fdO5
Raising the Damned,7dy1jXdOrGDdLnl2Sge2pm,album,10,2015-02-12,Damned Anthem,3C0PKxcP1f25siYFYiyHa1
Reawakenings,1CUCeOtiH3pknijQK7zduV,album,12,2016-10-28,Hidden Citizens,707cnVfI3ISM4j5uzfTc7J
Nemesis,0EJMZHw1EdKqjVHA3Eph51,album,12,2016-01-04,Sound Adventures,0YdXfou4dLC8zsOn85D1GL
Aphelion,1FqPZscG7gDH6utCpoWnkG,album,10,2021-08-27,Leprous,4lgrzShsg2FLA89UM2fdO5
Raising the Damned,7dy1jXdOrGDdLnl2Sge2pm,album,10,2015-02-12,Damned Anthem,3C0PKxcP1f25siYFYiyHa1
A World Of Color,3nuJOpLYdE1FGdc3BmFIL4,album,15,2018-12-21,Dos Brains,2m1jyLK9kufk4DasfhR0Qa
Alibis,5RgESAaSGm3hzo2UIl0evq,single,4,2019-07-26,Astyria,2BgtLzBS8FjGC3P3kLCI76
Bilateral,6BA8AsaJWZ4HfoaDZC67tZ,album,10,2012-07-13,Leprous,4lgrzShsg2FLA89UM2fdO5
Scars,5kDGxRBlSIEkmOVYdX0SJW,single,1,2016-08-12,Boy Epic,4AUPm9yTN47XYKXCJigth8
Awakening,7LuzLhB2GjSmT3LJrLdnA7,album,11,2017-08-25,Joseph William Morgan,3iZ86mYR1dGoTWIHFMoT03
Alibis,5RgESAaSGm3hzo2UIl0evq,single,4,2019-07-26,Astyria,2BgtLzBS8FjGC3P3kLCI76
Immortalys,2duESsLbpGVnrK2f5CIqJz,album,18,2017-12-22,Iván Torrent,3C6hf9ZIza3e2f2Q3XwfcO
Paint It Black,1Kq4LvJgU2dM5dN7uAlEbo,single,1,2019-10-03,Sebastian Böhm,3Y3rZzomzJnLjgCAQxN0cb
Run for Cover,7cNiZSv4B569EBztcQaQxx,single,5,2015-04-29,Joseph William Morgan,3iZ86mYR1dGoTWIHFMoT03
Weight of Everything,5AcsInHSw1yXKg5iu6IHzY,single,1,2018-10-12,ill Factor,6fMQrRpWuirgOJQWFFO39g
Ashes,01vSUDxOQnmm2WxeD0CsHc,single,1,2018-05-15,Endway,71H9VGRKdyCGpiMpz02mjX
Le dernier panache,0wfqj0VoRiUrE6GhA5mI8h,album,14,2018-04-07,"['Puy du Fou', 'Nathan Stornetta']","['5JsH5ZLrJXUjhonlxnhFb4', '7wEIfjjvLYNiKhM9IqGg0u']"
Beyond the Horizon,6oadAalZc41JzAMv7XaRQB,album,14,2019-08-04,Kári Sigurðsson,5bSyD8Q09Y4e08czSCfpma
Dawning Promises,6zZhn9XSPAKBMNn0rnnhJM,album,20,2013-10-08,Icon,3uR1DCAmHqyectkYX5HpRT
