name,id,genre
Rvssian,1fctva4kpRbg2k3v7kwRuS,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Capital Cities,4gwpcMTbLWtBUlOijbVpuu,"['metropopolis', 'modern rock']"
Achille Lauro,0lI3rF4hi4op6UxqlLHPzv,"['italian hip hop', 'italian indie pop', 'italian pop']"
Gow Tribe,2dAKW1tsAariQ0Ta2gqp8N,['Without Genre']
Frenetik&Orang3,2lkP8239tkwRjg5N7d2D0w,"['italian hip hop', 'italian indie pop']"
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"['belgian edm', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,"['neo mellow', 'pop']"
La rappresentante di lista,0YmQyGKpZgGSDxsC8iEGQU,"['indie siciliano', 'italian indie pop']"
Bizarrap,716NhGYqD1jl2wI1Qkgq36,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Quevedo,52iwsT98xCoGgiGntTiR7K,"['rap canario', 'urbano latino']"
PSICOLOGI,0fskdccy6fvnWMNMNPqEro,"['italian hip hop', 'rome indie']"
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Alfa,7GacyaFUp0qkEJglERX9N7,"['italian pop', 'pop virale italiano']"
Yanomi,6YgYCNwq3DkSXEd6kGxoZW,['Without Genre']
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'shiver pop']"
Jovanotti,7tmMPdOmFvdRvbj2aWoiRi,"['classic italian pop', 'italian adult pop', 'italian pop']"
Sixpm,1DqxHZcNsyQouEIgARx6Zx,['Without Genre']
Hidden Citizens,707cnVfI3ISM4j5uzfTc7J,"['bossbeat', 'epicore', 'modern alternative rock']"
ESSA,7pYmOZBwoka8sQcO4cABjb,['Without Genre']
Les Friction,6w3KIJjRhRR0yuABLt68Rz,['epicore']
Two Steps from Hell,2qvP9yerCZCS0U1gZU8wYp,"['epicore', 'orchestral soundtrack']"
Thomas Bergersen,6BF0bXbsdujMSMeFZBGcBq,"['epicore', 'soundtrack']"
Globus,2SrDoQLTZqsVi8Vg1UdHao,"['bow pop', 'epicore']"
NINJA TRACKS,6528Ex7vvaNcKo87nHri44,['epicore']
Josh Bruce Williams,1mppgMREHkTaso4wtgZSRb,['Without Genre']
Xtortion Audio,4mtNoMN4jglEdAWfrD5N9z,['epicore']
Astyria,2BgtLzBS8FjGC3P3kLCI76,['bossbeat']
Sound Adventures,0YdXfou4dLC8zsOn85D1GL,"['epicore', 'scorecore']"
X-Ray Dog,4GwtNddbBGWKxaquZyFFJG,['epicore']
Q-Factory by Robert Etoll,0wBSkYE9QLovAkVbXP9n8N,['epicore']
REMMI,14eQOEJwQwEFzqlaXuSMjf,['electropop']
Glory Oath + Blood,0lkwA8682c7T1ZSnOLe0lf,['epicore']
Robert Leslie Bennett,61HkEKXp6aQytKWbVBxAwp,['Without Genre']
Generdyn,5hapHjhxu0KGpkjz8GGGoO,"['bossbeat', 'rebel blues']"
Jaroslav Beck,2qaihH7C0RAiTnCDHYTkxY,['speedrun']
Efisio Cross,4AeQ7Pcq0mxxRuKjxDtvCk,['epicore']
Imagine Music,4SOk9hgrKvDv8pVI1iUZ8L,['epicore']
Aleksandar Dimitrijevic,6zRPnHLutADMg25cuMOEmy,['epicore']
Joseph William Morgan,3iZ86mYR1dGoTWIHFMoT03,['epicore']
Leprous,4lgrzShsg2FLA89UM2fdO5,"['norwegian metal', 'prog metal', 'progressive metal']"
Rånya,06bnkBtdhuBFhXCDi50LX5,['Without Genre']
J2,7bKIwE1P5IDeq0NcQC6dHd,['rebel blues']
Avery,6oYQ2Qr5xbI4HxACaPUYK5,['Without Genre']
Cryoshell,65jgj6SqhyQN9TEh5g0Unu,"['danish alternative rock', 'pixie']"
Hi-Finesse,4uOcci6rBym8EVu1RH7XQ5,['epicore']
Gothic Storm,0yJVICreTbBrtXTstg8pE9,['epicore']
Keeley Bumford,6KnAsHX2TGxxtrh5O7HC8Y,['Without Genre']
Alex Richstein,1nF1ohtOIdWmBwHQTlUu6Z,['Without Genre']
Phoenix Music,4DxMoDhZXHK0V7oI4teoky,['epicore']
Christine,4MNQFONMmz1jAg2ZzLQt39,"['eurobeat', 'super eurobeat']"
Budapest Art Orchestra,4hKNoxcKhHHk4rljrETvY0,['Without Genre']
X V I,3BTy6efn1U8Bqo1E0gAlcT,['Without Genre']
Infinitescore,2JldkI3fual43FoAvlqS8V,['epicore']
Anne Sophie Versnaeyen,671urgqEnpU2quOyN9RB6D,['epicore']
Gabriel Saban,2lgEU996kHhYBlo10vh59G,['epicore']
PostHaste Music,184c1HwKwkvLu4BiyBtVaY,['epicore']
Damned Anthem,3C0PKxcP1f25siYFYiyHa1,['epicore']
Revolt Production Music,5aYAUA8CBgKOAhAmjEg9ra,['epicore']
Alexa Ray,7KRlMHf9err2cWhAiYpkIv,['Without Genre']
Randall Jermaine,5fbfAGgGXwH97lu9sMSKbx,['epicore']
JAXSON GAMBLE,4fClmcYOLFAp5rrKUqLHAI,"['bossbeat', 'rebel blues']"
Dos Brains,2m1jyLK9kufk4DasfhR0Qa,['epicore']
Boy Epic,4AUPm9yTN47XYKXCJigth8,['indie poptimism']
Iván Torrent,3C6hf9ZIza3e2f2Q3XwfcO,['epicore']
Sebastian Böhm,3Y3rZzomzJnLjgCAQxN0cb,['Without Genre']
Shadow Royale,5PVFo0PXAkql8dcoPrOXTD,['Without Genre']
ill Factor,6fMQrRpWuirgOJQWFFO39g,['Without Genre']
Katie Garfield,20D6Jrpn4bZvOBq63Jisfx,['la pop']
Endway,71H9VGRKdyCGpiMpz02mjX,['Without Genre']
Puy du Fou,5JsH5ZLrJXUjhonlxnhFb4,['Without Genre']
Nathan Stornetta,7wEIfjjvLYNiKhM9IqGg0u,['Without Genre']
Kári Sigurðsson,5bSyD8Q09Y4e08czSCfpma,['epicore']
Icon,3uR1DCAmHqyectkYX5HpRT,['epicore']
Rumble Head,27TkZdQovhywoLlxppv5s8,['epicore']
Saint Mesa,0e2fMEJlAuBo3iYh118cKI,"['bossbeat', 'la pop', 'modern alternative rock']"
Ganyos,5RDWHVx6xhlk2PznNkXbsj,['bossbeat']
David Chappell,6Mcfzo3GqPaurA2tGbdknQ,['epicore']
Tom Player,6kEt6wb2fUfh3iB7Sr0PrJ,['epicore']
Trailer Bros,7B5cnN060FgAaZXq7lwq6X,['epicore']
Sonic Symphony,2flkKdAcaMRZOKA8WNQBEI,['Without Genre']
Florian Bur,5oMNNPoFGc4QzaQehA2WHA,['epicore']
CRMNL,4KGzIN3H6JbwyLKjs93tUQ,"['alt z', 'bossbeat', 'modern alternative rock']"
Vo Williams,18KIg6ST1nUjVUvAlEB6ak,['bossbeat']
Nick Phoenix,3EvzCyNmY3kbUkMawjsndF,['epicore']
The Triple Killers,3qLzl5NnEuOcfeTghVY3QZ,['Without Genre']
Adam Christopher,22QkuOmdRnasuuVgUjhrVw,"['acoustic cover', 'viral pop']"
Epic North,65VzgvnIOrNmIk4UwsMI39,['epicore']
Roses & Revolutions,1EQiPk32D03HxHmExyCg9l,"['bossbeat', 'indie electropop', 'indie poptimism']"
Nitro,6jQZzWW3JlEtcRDSzFVKSP,['italian hip hop']
Sleepy Hallow,6EPlBSH2RSiettczlz7ihV,"['brooklyn drill', 'nyc rap']"
Gemitaiz,4upwdFMlZBmQ68jP9jPzjK,['italian hip hop']
AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,"['cologne indie', 'german singer-songwriter']"
Giant Rooks,5wD0owYApRtYmjPWavWKvb,['Without Genre']
Jake La Furia,6JFRI91YaCXREGQYzHSnUH,['italian hip hop']
Rose Villain,2aya6KuqjXEhHBqYKsTPLs,"['italian hip hop', 'italian indie pop', 'milan indie']"
Night Skinny,2E6AK3UPEGCvjnzuygCh2h,"['italian hip hop', 'rap siciliano', 'trap italiana']"
JVKE,164Uj4eKjl6zTBKfJLFKKK,['modern indie pop']
Gaia,3AVx3OBPIk4pJQllAXoVs1,['italian pop']
Carl Brave,29nrwultxQ8jENVmXoyMqK,"['italian adult pop', 'italian indie pop', 'italian pop', 'rap napoletano', 'rome indie']"
Vibe Chemistry,1L5GuSYb4gktP74dqFkJpi,['Without Genre']
Alcemist,6WzWO3A5YAYxLVD224S9P0,['bass house']
Coco,7q33wxvdJ95u6w3fY2q5ai,['ukg revival']
Diplo,5fMUXHkw8R8eOP2RNVYEZX,"['edm', 'electro house', 'house', 'moombahton', 'pop', 'pop dance', 'tropical house']"
Noyz Narcos,49UAapOfpOg1ZOU4xf2NgY,"['italian hip hop', 'italian underground hip hop']"
Gemello,3GNq6JwYWh8B2xujy6ub04,"['italian hip hop', 'italian indie pop']"
Metal Carter,0H4qKbzvpxPEz0Vbm7ULo4,['italian underground hip hop']
